classification,match_kind,oem_name,recovered_names,oem_instructions,recovered_instructions,instruction_ratio,instruction_delta,oem_bytes,recovered_bytes,oem_branches,recovered_branches,oem_calls,recovered_calls,oem_returns,recovered_returns,oem_relocations,recovered_relocations,missing_replacement_targets
expanded,exact_name,frame_channel_vidioc_s_priority,frame_channel_vidioc_s_priority,2,6,3.000000,4,8,24,0,0,0,0,1,1,0,0,
expanded,exact_name,load_sensor_interface,load_sensor_interface,2,6,3.000000,4,8,24,0,0,0,0,1,1,0,0,
expanded,exact_name,system_uart_read,system_uart_read,2,6,3.000000,4,8,24,0,0,0,0,1,1,0,0,
expanded,exact_name,system_uart_write,system_uart_write,2,6,3.000000,4,8,24,0,0,0,0,1,1,0,0,
expanded,exact_name,color_matrix_fsm_process_interrupt,color_matrix_fsm_process_interrupt,2,5,2.500000,3,8,20,0,0,0,0,1,1,0,2,
expanded,exact_name,csi_init,csi_init,2,5,2.500000,3,8,20,0,0,0,0,1,1,0,0,
expanded,exact_name,csi_s_power,csi_s_power,2,5,2.500000,3,8,20,0,0,0,0,1,1,0,0,
expanded,exact_name,general_fsm_process_event,general_fsm_process_event,2,5,2.500000,3,8,20,0,0,0,0,1,1,0,0,
expanded,exact_name,isp_core_ops_reset,isp_core_ops_reset,2,5,2.500000,3,8,20,0,0,0,0,1,1,0,0,
expanded,exact_name,isp_core_ops_s_power,isp_core_ops_s_power,2,5,2.500000,3,8,20,0,0,0,0,1,1,0,0,
expanded,exact_name,frame_channel_vb2_buffer_cleanup,frame_channel_vb2_buffer_cleanup,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
expanded,exact_name,frame_channel_vb2_lock,frame_channel_vb2_lock,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
expanded,exact_name,frame_channel_vb2_unlock,frame_channel_vb2_unlock,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
expanded,exact_name,init_sensor_interface,init_sensor_interface,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
expanded,exact_name,noise_reduction_fsm_clear,noise_reduction_fsm_clear,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
expanded,exact_name,reset_sensor_interface,reset_sensor_interface,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
expanded,exact_name,sensor_disable_isp,sensor_disable_isp,2,4,2.000000,2,8,16,0,0,0,0,1,1,0,0,
larger,exact_name,apical_isp_core_ops_s_ctrl,apical_isp_core_ops_s_ctrl,2631,3775,1.434816,1144,10524,15100,220,281,317,174,1,1,409,374,
larger,exact_name,tx_isp_image_tuning_device_register,tx_isp_image_tuning_device_register,456,756,1.657895,300,1824,3024,10,12,52,52,1,1,104,154,
larger,exact_name,load_tx_isp_parameters,load_tx_isp_parameters,435,827,1.901149,392,1740,3308,43,47,29,35,1,1,108,182,
larger,exact_name,apical_switch_wdr_mode,apical_switch_wdr_mode,337,569,1.688427,232,1348,2276,24,21,45,52,0,1,55,116,
larger,exact_name,awb_range_low,awb_range_low,319,508,1.592476,189,1276,2032,18,27,36,16,2,1,14,32,
larger,exact_name,awb_range_high,awb_range_high,319,471,1.476489,152,1276,1884,18,23,36,12,2,1,14,24,
